Feature,Importance
temp_trend_5,0.6275919721070106
temperature_anomaly_lag_5,0.37093929906051004
Total_GHG,0.000145305410714671
Population,0.00014289818328942013
CO2_Emissions,0.00014009203182402895
co2_lag_1,0.00013761132410475472
rolling_co2_5,0.00013670286017403288
temperature_anomaly_lag_3,0.0001365517588967701
Year,0.0001361343605172158
Temp_Moving_Avg,0.00013374983476471372
temperature_anomaly_lag_1,0.0001260837667950584
rolling_temp_3,0.00011789329372077389
rolling_temp_5,0.00011570600767804229
