ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1940-01-01,-1.1983184152620139,-1.5304532550551488,-0.8642514330226341,-1.1983184152620139,-1.1983184152620139,0.0,0.0,0.0,0.0,0.0,0.0,-1.1983184152620139
1941-01-01,-1.1849056233010258,-1.5132774804797542,-0.859579253651395,-1.1849056233010258,-1.1849056233010258,0.0,0.0,0.0,0.0,0.0,0.0,-1.1849056233010258
1942-01-01,-1.171529478312609,-1.4998123127799694,-0.832091965721069,-1.171529478312609,-1.171529478312609,0.0,0.0,0.0,0.0,0.0,0.0,-1.171529478312609
1943-01-01,-1.1581533333241918,-1.4961324435990235,-0.848705749609577,-1.1581533333241918,-1.1581533333241918,0.0,0.0,0.0,0.0,0.0,0.0,-1.1581533333241918
1944-01-01,-1.144777188369623,-1.5001654028668063,-0.8296901914611396,-1.144777188369623,-1.144777188369623,0.0,0.0,0.0,0.0,0.0,0.0,-1.144777188369623
1945-01-01,-1.1313643964425761,-1.4581334705464615,-0.7701541865529912,-1.1313643964425761,-1.1313643964425761,0.0,0.0,0.0,0.0,0.0,0.0,-1.1313643964425761
1946-01-01,-1.1179882514559132,-1.458543616351238,-0.792290008029638,-1.1179882514559132,-1.1179882514559132,0.0,0.0,0.0,0.0,0.0,0.0,-1.1179882514559132
1947-01-01,-1.1046121064692502,-1.4365241775568993,-0.7862217459700994,-1.1046121064692502,-1.1046121064692502,0.0,0.0,0.0,0.0,0.0,0.0,-1.1046121064692502
1948-01-01,-1.091235961482587,-1.423993904267026,-0.7488366121457398,-1.091235961482587,-1.091235961482587,0.0,0.0,0.0,0.0,0.0,0.0,-1.091235961482587
1949-01-01,-1.077823169567974,-1.3942049731369592,-0.7563005886967807,-1.077823169567974,-1.077823169567974,0.0,0.0,0.0,0.0,0.0,0.0,-1.077823169567974
1950-01-01,-1.064447024625805,-1.3942404812860851,-0.7450886688754762,-1.064447024625805,-1.064447024625805,0.0,0.0,0.0,0.0,0.0,0.0,-1.064447024625805
1951-01-01,-1.0510708796836363,-1.3805697736954063,-0.719370511879316,-1.0510708796836363,-1.0510708796836363,0.0,0.0,0.0,0.0,0.0,0.0,-1.0510708796836363
1952-01-01,-1.0376947347616463,-1.3796644891971614,-0.7083737231432861,-1.0376947347616463,-1.0376947347616463,0.0,0.0,0.0,0.0,0.0,0.0,-1.0376947347616463
1953-01-01,-1.0242819428672671,-1.3579885157180975,-0.6783606264157204,-1.0242819428672671,-1.0242819428672671,0.0,0.0,0.0,0.0,0.0,0.0,-1.0242819428672671
1954-01-01,-1.0109057979401432,-1.3500513227627196,-0.6649859668858188,-1.0109057979401432,-1.0109057979401432,0.0,0.0,0.0,0.0,0.0,0.0,-1.0109057979401432
1955-01-01,-0.9975296530130193,-1.3235950076908376,-0.6707001555159088,-0.9975296530130193,-0.9975296530130193,0.0,0.0,0.0,0.0,0.0,0.0,-0.9975296530130193
1956-01-01,-0.9841535080858953,-1.31996691105727,-0.6565174904304134,-0.9841535080858953,-0.9841535080858953,0.0,0.0,0.0,0.0,0.0,0.0,-0.9841535080858953
1957-01-01,-0.9707407161815922,-1.3028827901323883,-0.6697341500761218,-0.9707407161815922,-0.9707407161815922,0.0,0.0,0.0,0.0,0.0,0.0,-0.9707407161815922
1958-01-01,-0.9573645712497054,-1.26236213107305,-0.6422477557871333,-0.9573645712497054,-0.9573645712497054,0.0,0.0,0.0,0.0,0.0,0.0,-0.9573645712497054
1959-01-01,-0.9439884263178185,-1.2430477722670221,-0.6015543774461096,-0.9439884263178185,-0.9439884263178185,0.0,0.0,0.0,0.0,0.0,0.0,-0.9439884263178185
1960-01-01,-0.9306122814076466,-1.2362754441153636,-0.6050560608401019,-0.9306122814076466,-0.9306122814076466,0.0,0.0,0.0,0.0,0.0,0.0,-0.9306122814076466
1961-01-01,-0.917199489525118,-1.24975153605,-0.5660232199139585,-0.917199489525118,-0.917199489525118,0.0,0.0,0.0,0.0,0.0,0.0,-0.917199489525118
1962-01-01,-0.9038233446289352,-1.214071328685812,-0.5725431422265814,-0.9038233446289352,-0.9038233446289352,0.0,0.0,0.0,0.0,0.0,0.0,-0.9038233446289352
1963-01-01,-0.8904471997327523,-1.2141612747415746,-0.5697112119871389,-0.8904471997327523,-0.8904471997327523,0.0,0.0,0.0,0.0,0.0,0.0,-0.8904471997327523
1964-01-01,-0.8770710548365696,-1.2398873181064622,-0.5456715497642777,-0.8770710548365696,-0.8770710548365696,0.0,0.0,0.0,0.0,0.0,0.0,-0.8770710548365696
1965-01-01,-0.8636576002970339,-1.1674463933722528,-0.5119963653649551,-0.8636576002970339,-0.8636576002970339,0.0,0.0,0.0,0.0,0.0,0.0,-0.8636576002970339
1966-01-01,-0.8502807945403928,-1.1681574027870658,-0.507088942644203,-0.8502807945403928,-0.8502807945403928,0.0,0.0,0.0,0.0,0.0,0.0,-0.8502807945403928
1967-01-01,-0.8369039887837522,-1.182496327423973,-0.5290034348328577,-0.8369039887837522,-0.8369039887837522,0.0,0.0,0.0,0.0,0.0,0.0,-0.8369039887837522
1968-01-01,-0.8235268307551395,-1.1643980876894278,-0.47244052320835167,-0.8235268307551395,-0.8235268307551395,0.0,0.0,0.0,0.0,0.0,0.0,-0.8235268307551395
1969-01-01,-0.8101130229785032,-1.1449439561510935,-0.4674358358254667,-0.8101130229785032,-0.8101130229785032,0.0,0.0,0.0,0.0,0.0,0.0,-0.8101130229785032
1970-01-01,-0.7967326883855713,-1.1155016893986864,-0.4594269283700695,-0.7967326883855713,-0.7967326883855713,0.0,0.0,0.0,0.0,0.0,0.0,-0.7967326883855713
1971-01-01,-0.7833523537926393,-1.098747262762947,-0.4427475784988118,-0.7833523537926393,-0.7833523537926393,0.0,0.0,0.0,0.0,0.0,0.0,-0.7833523537926393
1972-01-01,-0.7699720191997076,-1.130580336606524,-0.4414072828682846,-0.7699720191997076,-0.7699720191997076,0.0,0.0,0.0,0.0,0.0,0.0,-0.7699720191997076
1973-01-01,-0.7565448791210796,-1.1012092586546143,-0.4202909066645282,-0.7565448791210796,-0.7565448791210796,0.0,0.0,0.0,0.0,0.0,0.0,-0.7565448791210796
1974-01-01,-0.7431544252175301,-1.1065058955164069,-0.43236555151350375,-0.7431544252175301,-0.7431544252175301,0.0,0.0,0.0,0.0,0.0,0.0,-0.7431544252175301
1975-01-01,-0.7297639713139804,-1.0609082043237994,-0.41084422042902285,-0.7297639713139804,-0.7297639713139804,0.0,0.0,0.0,0.0,0.0,0.0,-0.7297639713139804
1976-01-01,-0.7163622699473051,-1.0640166322997906,-0.4000591900390902,-0.7163622699473051,-0.7163622699473051,0.0,0.0,0.0,0.0,0.0,0.0,-0.7163622699473051
1977-01-01,-0.7029238515905839,-1.0411217628110057,-0.3813484440809729,-0.7029238515905839,-0.7029238515905839,0.0,0.0,0.0,0.0,0.0,0.0,-0.7029238515905839
1978-01-01,-0.6895221502239085,-1.0388512000379007,-0.35994169652253083,-0.6895221502239085,-0.6895221502239085,0.0,0.0,0.0,0.0,0.0,0.0,-0.6895221502239085
1979-01-01,-0.6760971928235929,-0.9831791081849227,-0.32933412837639037,-0.6760971928235929,-0.6760971928235929,0.0,0.0,0.0,0.0,0.0,0.0,-0.6760971928235929
1980-01-01,-0.6626722354232772,-0.9854903839751465,-0.3509415453323895,-0.6626722354232772,-0.6626722354232772,0.0,0.0,0.0,0.0,0.0,0.0,-0.6626722354232772
1981-01-01,-0.6492024075304473,-0.9701314053707849,-0.3239065808521733,-0.6492024075304473,-0.6492024075304473,0.0,0.0,0.0,0.0,0.0,0.0,-0.6492024075304473
1982-01-01,-0.6357693824460678,-0.9702931148202798,-0.28265508558369634,-0.6357693824460678,-0.6357693824460678,0.0,0.0,0.0,0.0,0.0,0.0,-0.6357693824460678
1983-01-01,-0.6223363573616884,-0.9454562397668199,-0.3022220904945835,-0.6223363573616884,-0.6223363573616884,0.0,0.0,0.0,0.0,0.0,0.0,-0.6223363573616884
1984-01-01,-0.5938176467346815,-0.918314402979177,-0.26627214486685996,-0.5938176467346815,-0.5938176467346815,0.0,0.0,0.0,0.0,0.0,0.0,-0.5938176467346815
1985-01-01,-0.5652208026539021,-0.9163230148894511,-0.2411230072637115,-0.5652208026539021,-0.5652208026539021,0.0,0.0,0.0,0.0,0.0,0.0,-0.5652208026539021
1986-01-01,-0.5367020920268952,-0.8484474038232698,-0.20768442730321116,-0.5367020920268952,-0.5367020920268952,0.0,0.0,0.0,0.0,0.0,0.0,-0.5367020920268952
1987-01-01,-0.5081549912697729,-0.821917288965337,-0.14704046575696936,-0.5081549912697729,-0.5081549912697729,0.0,0.0,0.0,0.0,0.0,0.0,-0.5081549912697729
1988-01-01,-0.47960789051265007,-0.8247608721642152,-0.12111693854601632,-0.47960789051265007,-0.47960789051265007,0.0,0.0,0.0,0.0,0.0,0.0,-0.47960789051265007
1989-01-01,-0.45096148852216755,-0.7769945010273155,-0.12420668835237084,-0.45096148852216755,-0.45096148852216755,0.0,0.0,0.0,0.0,0.0,0.0,-0.45096148852216755
1990-01-01,-0.4223933553895822,-0.7931655335180255,-0.10275714185779655,-0.4223933553895822,-0.4223933553895822,0.0,0.0,0.0,0.0,0.0,0.0,-0.4223933553895822
1991-01-01,-0.39382522225699723,-0.7197387993881985,-0.06883596209590005,-0.39382522225699723,-0.39382522225699723,0.0,0.0,0.0,0.0,0.0,0.0,-0.39382522225699723
1992-01-01,-0.3652409300962076,-0.7116975655899109,-0.037398263265085024,-0.3652409300962076,-0.3652409300962076,0.0,0.0,0.0,0.0,0.0,0.0,-0.3652409300962076
1993-01-01,-0.33657832480621014,-0.6495546714439578,-0.017315535577219557,-0.33657832480621014,-0.33657832480621014,0.0,0.0,0.0,0.0,0.0,0.0,-0.33657832480621014
1994-01-01,-0.30799403264542047,-0.669649093274045,0.019410851095490768,-0.30799403264542047,-0.30799403264542047,0.0,0.0,0.0,0.0,0.0,0.0,-0.30799403264542047
1995-01-01,-0.2794000928063916,-0.5979191946368886,0.04399878910971787,-0.2794000928063916,-0.2794000928063916,0.0,0.0,0.0,0.0,0.0,0.0,-0.2794000928063916
1996-01-01,-0.2508061529673631,-0.5907031420277001,0.10208745538920727,-0.2508061529673631,-0.2508061529673631,0.0,0.0,0.0,0.0,0.0,0.0,-0.2508061529673631
1997-01-01,-0.22212876510121174,-0.5167131596150777,0.12128263198441286,-0.22212876510121174,-0.22212876510121174,0.0,0.0,0.0,0.0,0.0,0.0,-0.22212876510121174
1998-01-01,-0.19352973075382013,-0.5288786100529153,0.11482294425899817,-0.19352973075382013,-0.19352973075382013,0.0,0.0,0.0,0.0,0.0,0.0,-0.19352973075382013
1999-01-01,-0.16493069640642916,-0.5207676646623783,0.16762132509593725,-0.16493069640642916,-0.16493069640642916,0.0,0.0,0.0,0.0,0.0,0.0,-0.16493069640642916
2000-01-01,-0.13633118430777702,-0.459918000110974,0.17786128146748276,-0.13633118430777702,-0.13633118430777702,0.0,0.0,0.0,0.0,0.0,0.0,-0.13633118430777702
2001-01-01,-0.10765331738145704,-0.447710916912397,0.22400753739929907,-0.10765331738145704,-0.10765331738145704,0.0,0.0,0.0,0.0,0.0,0.0,-0.10765331738145704
2002-01-01,-0.07905380528280459,-0.4226965263370115,0.2540338853725815,-0.07905380528280459,-0.07905380528280459,0.0,0.0,0.0,0.0,0.0,0.0,-0.07905380528280459
2003-01-01,-0.0504530819968745,-0.3909642930090715,0.2821637085819853,-0.0504530819968745,-0.0504530819968745,0.0,0.0,0.0,0.0,0.0,0.0,-0.0504530819968745
2004-01-01,-0.021852358710944417,-0.3556737515336866,0.2924843682442029,-0.021852358710944417,-0.021852358710944417,0.0,0.0,0.0,0.0,0.0,0.0,-0.021852358710944417
2005-01-01,0.0068267229071786685,-0.32623997271554445,0.31651427607953564,0.0068267229071786685,0.0068267229071786685,0.0,0.0,0.0,0.0,0.0,0.0,0.0068267229071786685
2006-01-01,0.03542744637880415,-0.2932800565321832,0.3528600532631167,0.03542744637880415,0.03542744637880415,0.0,0.0,0.0,0.0,0.0,0.0,0.03542744637880415
2007-01-01,0.06402816985042932,-0.25358043758252313,0.3752068264672554,0.06402816985042932,0.06402816985042932,0.0,0.0,0.0,0.0,0.0,0.0,0.06402816985042932
2008-01-01,0.09262908922179952,-0.22744174128112385,0.44660119204287774,0.09262908922179952,0.09262908922179952,0.0,0.0,0.0,0.0,0.0,0.0,0.09262908922179952
2009-01-01,0.12130836727637898,-0.21671087686016324,0.45231240591598765,0.12130836727637898,0.12130836727637898,0.0,0.0,0.0,0.0,0.0,0.0,0.12130836727637898
2010-01-01,0.1499092866477492,-0.17362412453711082,0.48624343704892053,0.1499092866477492,0.1499092866477492,0.0,0.0,0.0,0.0,0.0,0.0,0.1499092866477492
2011-01-01,0.1785102060191194,-0.14563268537251584,0.5087614417158178,0.1785102060191194,0.1785102060191194,0.0,0.0,0.0,0.0,0.0,0.0,0.1785102060191194
2012-01-01,0.2071111253904893,-0.13983007856595017,0.540565253191078,0.2071111253904893,0.2071111253904893,0.0,0.0,0.0,0.0,0.0,0.0,0.2071111253904893
2013-01-01,0.23579040344506874,-0.09795774386599476,0.5398194377373065,0.23579040344506874,0.23579040344506874,0.0,0.0,0.0,0.0,0.0,0.0,0.23579040344506874
2014-01-01,0.26439132281643896,-0.06136440490172151,0.5977560458415764,0.26439132281643896,0.26439132281643896,0.0,0.0,0.0,0.0,0.0,0.0,0.26439132281643896
2015-01-01,0.29299224218780917,-0.025147656387264402,0.6145660632028306,0.29299224218780917,0.29299224218780917,0.0,0.0,0.0,0.0,0.0,0.0,0.29299224218780917
2016-01-01,0.3215931615591794,-0.03526700286080111,0.6747200049526116,0.3215931615591794,0.3215931615591794,0.0,0.0,0.0,0.0,0.0,0.0,0.3215931615591794
2017-01-01,0.35027243961375853,-0.010838541307354137,0.70212797815817,0.35027243961375853,0.35027243961375853,0.0,0.0,0.0,0.0,0.0,0.0,0.35027243961375853
2018-01-01,0.3788733589851287,0.06933215577945574,0.7174711815102707,0.3788733589851287,0.3788733589851287,0.0,0.0,0.0,0.0,0.0,0.0,0.3788733589851287
2019-01-01,0.4074742783564989,0.06218732879580026,0.7226882685834051,0.4074742783564989,0.4074742783564989,0.0,0.0,0.0,0.0,0.0,0.0,0.4074742783564989
2020-01-01,0.4360751977278688,0.09545896875640193,0.7741601333072697,0.4360751977278688,0.4360751977278688,0.0,0.0,0.0,0.0,0.0,0.0,0.4360751977278688
2021-01-01,0.4647544757824486,0.12791612544638273,0.7978811020150786,0.4647544757824486,0.4647544757824486,0.0,0.0,0.0,0.0,0.0,0.0,0.4647544757824486
2022-01-01,0.4933553951538185,0.1356625379259572,0.8180969913091227,0.4933553951538185,0.4933553951538185,0.0,0.0,0.0,0.0,0.0,0.0,0.4933553951538185
2023-01-01,0.5219563145251886,0.19328044835187705,0.8788680143080768,0.5219563145251886,0.5219563145251886,0.0,0.0,0.0,0.0,0.0,0.0,0.5219563145251886
2024-01-01,0.5505572338965589,0.22759701520051637,0.8650983396294086,0.5505572338965589,0.5505572338965589,0.0,0.0,0.0,0.0,0.0,0.0,0.5505572338965589
2024-12-31,0.5791581532679287,0.2692869928447268,0.9002068940987439,0.5786407222028124,0.5797864647264837,0.0,0.0,0.0,0.0,0.0,0.0,0.5791581532679287
2025-12-31,0.6077590726392993,0.2720399070422236,0.9572569559338961,0.6062867095789022,0.6096954510564337,0.0,0.0,0.0,0.0,0.0,0.0,0.6077590726392993
2026-12-31,0.6363599920106692,0.28572598890641476,0.9700557234182038,0.6334323985166721,0.6397779200963474,0.0,0.0,0.0,0.0,0.0,0.0,0.6363599920106692
2027-12-31,0.6649609113820397,0.3087574947485705,0.9995494189386689,0.6600831780208347,0.6702697050791079,0.0,0.0,0.0,0.0,0.0,0.0,0.6649609113820397
2028-12-31,0.6936401894366189,0.37015747491192497,1.0350282997784184,0.6865902157671333,0.7012714979718452,0.0,0.0,0.0,0.0,0.0,0.0,0.6936401894366189
2029-12-31,0.7222411088079894,0.37060459419580666,1.0612372891910793,0.7129638180696174,0.7321631763099286,0.0,0.0,0.0,0.0,0.0,0.0,0.7222411088079894
2030-12-31,0.7508420281793593,0.429470879134551,1.0880396087885431,0.7393857946633148,0.7626953863569337,0.0,0.0,0.0,0.0,0.0,0.0,0.7508420281793593
2031-12-31,0.7794429475507292,0.43037386904094227,1.118716552758762,0.7656650415257464,0.7933738842958026,0.0,0.0,0.0,0.0,0.0,0.0,0.7794429475507292
2032-12-31,0.8081222256053087,0.4778690161149492,1.1560922946078083,0.7912725347309488,0.8243227386717288,0.0,0.0,0.0,0.0,0.0,0.0,0.8081222256053087
2033-12-31,0.8367231449766789,0.5011381252109933,1.1751385688526792,0.8172212101422429,0.8559152300918915,0.0,0.0,0.0,0.0,0.0,0.0,0.8367231449766789
2034-12-31,0.8653240643480491,0.5446534067140574,1.209587657819125,0.8427811081584949,0.8877960488547105,0.0,0.0,0.0,0.0,0.0,0.0,0.8653240643480491
2035-12-31,0.893924983719419,0.5668254682604686,1.2266203297478921,0.8697677333463506,0.9194259333756948,0.0,0.0,0.0,0.0,0.0,0.0,0.893924983719419
2036-12-31,0.9226042617739987,0.6053926518169364,1.2735971951343297,0.8962271767590559,0.9512431956462342,0.0,0.0,0.0,0.0,0.0,0.0,0.9226042617739987
2037-12-31,0.9512051811453686,0.6430105270331797,1.2784240423211166,0.9218331102441812,0.9837587193037841,0.0,0.0,0.0,0.0,0.0,0.0,0.9512051811453686
2038-12-31,0.9798061005167391,0.6571973650980146,1.3100262226478576,0.9464239921844672,1.015698843396286,0.0,0.0,0.0,0.0,0.0,0.0,0.9798061005167391
